"Name","td__rating","td__spec","td__spec 2","td__spec 3","td__spec 4","td__spec 5","td__spec 6","td__price"
"ASRock Phantom Gaming OC","(3)","Radeon RX 7900 XTX","24 GB","2300 MHz","2615 MHz","Black","330 mm","$909.99"
"Intel Limited Edition","(8)","Arc A750","8 GB","2050 MHz","Black","250 mm","","$179.99"
"Gigabyte AERO OC V2","(0)","GeForce RTX 4070 Ti","12 GB","2310 MHz","2640 MHz","White / Silver","300 mm","$861.65"
"Zotac GAMING Twin Edge OC","(15)","GeForce RTX 3060 12GB","12 GB","1320 MHz","1807 MHz","Black","224 mm","$269.99"
"Asus Dual GeForce RTX 3060 V2 OC Edition","(3)","GeForce RTX 3060 12GB","12 GB","1320 MHz","1867 MHz","Black","200 mm","$299.99"
"XFX Speedster SWFT 309","(5)","Radeon RX 6700","10 GB","2132 MHz","2425 MHz","Black","304 mm","$229.99"
"EVGA FTW3 ULTRA GAMING","(70)","GeForce RTX 3080 10GB","10 GB","1440 MHz","1800 MHz","Black","300 mm","$919.99"
"MSI GAMING X TRIO","(11)","GeForce RTX 4090","24 GB","2235 MHz","Black","337 mm","","$2649.96"
"PowerColor Hellhound OC","(0)","Radeon RX 7800 XT","16 GB","1295 MHz","2520 MHz","Black","322 mm","$514.99"
"ASRock Steel Legend OC","(2)","Radeon RX 7800 XT","16 GB","1295 MHz","2520 MHz","White","304 mm","$592.24"
"Sapphire PULSE","(4)","Radeon RX 7600","8 GB","1720 MHz","2755 MHz","Black / Red","240 mm","$249.99"
"Gigabyte GAMING OC","(32)","GeForce RTX 3070","8 GB","1500 MHz","1815 MHz","Black / Silver","286 mm","$619.90"
"Gigabyte AERO OC","(7)","GeForce RTX 4080","16 GB","2205 MHz","2535 MHz","White","342 mm","$1489.95"
"Gigabyte WINDFORCE OC","(0)","GeForce RTX 4060","8 GB","1830 MHz","Black","192 mm","","$299.99"
"Sapphire 21330-01-20G","(1)","Radeon RX 7800 XT","16 GB","1295 MHz","Black","267 mm","","$499.99"
"PowerColor Fighter","(8)","Radeon RX 6700 XT","12 GB","2321 MHz","2581 MHz","Black","228 mm","$324.99"
"Sapphire NITRO+","(0)","Radeon RX 7800 XT","16 GB","1295 MHz","Black","320 mm","","$549.99"
"MSI VENTUS 3X OC","(10)","GeForce RTX 4070 Ti","12 GB","2310 MHz","2655 MHz","Silver / Black","308 mm","$739.99"
"Asus ROG STRIX GAMING OC","(3)","GeForce RTX 4080","16 GB","2205 MHz","2655 MHz","Black / Red","358 mm","$1449.99"
