"Name","td__rating","td__spec","td__spec 2","td__spec 3","td__spec 4","td__spec 5","td__spec 6","td__price"
"Kingston A400","(121)","240 GB","$0.102","SSD","2.5""","SATA 6.0 Gb/s","","$24.49"
"Samsung 870 Evo","(23)","500 GB","$0.094","SSD","512 MB","2.5""","SATA 6.0 Gb/s","$46.99"
"Crucial T700","(2)","1 TB","$0.160","SSD","M.2-2280","M.2 PCIe 5.0 X4","","$159.99"
"Western Digital Green SN350","(2)","960 GB","$0.058","SSD","M.2-2280","M.2 PCIe 3.0 X4","","$55.24"
"Western Digital Blue","(22)","2 TB","$0.027","7200 RPM","256 MB","3.5""","SATA 6.0 Gb/s","$53.99"
"Samsung 990 Pro w/Heatsink","(2)","2 TB","$0.070","SSD","2048 MB","M.2-2280","M.2 PCIe 4.0 X4","$139.99"
"Kingston NV2","(6)","500 GB","$0.076","SSD","M.2-2280","M.2 PCIe 4.0 X4","","$37.99"
"Kingston Fury Renegade","(2)","2 TB","$0.074","SSD","M.2-2280","M.2 PCIe 4.0 X4","","$148.55"
"Sabrent Rocket 4.0","(102)","1 TB","$0.060","SSD","M.2-2280","M.2 PCIe 4.0 X4","","$59.99"
"Samsung 990 Pro w/Heatsink","(0)","4 TB","$0.084","SSD","4096 MB","M.2-2280","M.2 PCIe 4.0 X4","$334.99"
"Intel 750","(0)","1.2 TB","$2.074","SSD","PCIe","PCIe x4","","$2488.87"
"Seagate Exos X20","(0)","20 TB","$0.013","7200 RPM","256 MB","3.5""","SATA 6.0 Gb/s","$269.99"
"MSI SPATIUM M371","(0)","1 TB","SSD","M.2-2280","M.2 PCIe 3.0 X4","","",""
"Silicon Power UD90","(6)","2 TB","$0.040","SSD","M.2-2280","M.2 PCIe 4.0 X4","","$79.99"
"Crucial MX500","(55)","2 TB","$0.040","SSD","2048 MB","2.5""","SATA 6.0 Gb/s","$79.99"
"Crucial T700","(1)","2 TB","$0.107","SSD","M.2-2280","M.2 PCIe 5.0 X4","","$214.99"
"Crucial P3 Plus","(6)","500 GB","$0.116","SSD","M.2-2280","M.2 PCIe 4.0 X4","","$58.24"
"TEAMGROUP T-Force Cardea Z44L","(1)","1 TB","$0.044","SSD","M.2-2280","M.2 PCIe 4.0 X4","","$43.99"
"TEAMGROUP T-Force Cardea A440 Pro","(1)","2 TB","$0.047","SSD","M.2-2280","M.2 PCIe 4.0 X4","","$94.99"
"Lexar NM790","(2)","2 TB","$0.076","SSD","M.2-2280","M.2 PCIe 4.0 X4","","$151.88"
"Samsung 970 Evo Plus","(87)","250 GB","$0.180","SSD","512 MB","M.2-2280","M.2 PCIe 3.0 X4","$44.95"
"Samsung 980 Pro w/Heatsink","(12)","2 TB","$0.060","SSD","2048 MB","M.2-2280","M.2 PCIe 4.0 X4","$119.99"
"SK Hynix Platinum P41","(23)","2 TB","$0.066","SSD","M.2-2280","M.2 PCIe 4.0 X4","","$131.99"
"Corsair MP600 PRO NH","(0)","8 TB","$0.109","SSD","M.2-2280","M.2 PCIe 4.0 X4","","$874.99"
"MSI SPATIUM M461","(1)","2 TB","SSD","M.2-2280","M.2 PCIe 4.0 X4","","",""
"Seagate BarraCuda","(1018)","1 TB","$0.028","7200 RPM","64 MB","3.5""","SATA 6.0 Gb/s","$27.95"
"Mushkin ALPHA","(0)","8 TB","SSD","M.2-2280","M.2 PCIe 3.0 X4","","",""
"Sabrent Rocket 4 Plus","(10)","2 TB","$0.065","SSD","M.2-2280","M.2 PCIe 4.0 X4","","$129.99"
"Kingston Fury Renegade","(8)","1 TB","$0.074","SSD","M.2-2280","M.2 PCIe 4.0 X4","","$73.98"
"Toshiba MK3276GSX","(5)","320 GB","5400 RPM","8 MB","2.5""","SATA 3.0 Gb/s","",""
"Corsair MP700","(0)","2 TB","$0.120","SSD","M.2-2280","M.2 PCIe 5.0 X4","","$239.99"
"Western Digital Blue SN570","(29)","500 GB","$0.080","SSD","M.2-2280","M.2 PCIe 3.0 X4","","$40.22"
"Western Digital WD_BLACK","(29)","4 TB","$0.035","7200 RPM","256 MB","3.5""","SATA 6.0 Gb/s","$139.99"
"Crucial P3","(2)","4 TB","$0.040","SSD","M.2-2280","M.2 PCIe 3.0 X4","","$159.99"
"TEAMGROUP MP44L","(3)","2 TB","$0.044","SSD","M.2-2280","M.2 PCIe 4.0 X4","","$87.99"
"TEAMGROUP Cardea Zero Z440 Graphene","(7)","1 TB","$0.058","SSD","M.2-2280","M.2 PCIe 4.0 X4","","$57.99"
"KIOXIA EXCERIA G2","(2)","1 TB","SSD","M.2-2280","M.2 PCIe 3.0 X4","","",""
"Western Digital Blue SN580","(1)","1 TB","$0.060","SSD","M.2-2280","M.2 PCIe 4.0 X4","","$59.99"
