"td__image--lg src","td__nameWrapper","td__rating","td__spec","td__spec 2","td__spec 3","td__spec 4","td__spec 5","td__price"
"https://m.media-amazon.com/images/I/51Fq730c2aL.jpg","Asus ROG ZENITH II EXTREME ALPHA","(4)","sTRX4","EATX","256 GB","8","Black / Silver","$2059.00"
"https://cdna.pcpartpicker.com/static/forever/images/product/a7c9c4159cc9aa72f29988cd1f376e9c.256p.jpg","Asus ROG MAXIMUS Z790 DARK HERO","(1)","LGA1700","ATX","192 GB","4","Black","$687.00"
"https://cdna.pcpartpicker.com/static/forever/images/product/472d12f3f649d3c11155e02f9fd70e22.256p.jpg","ASRock B550M Pro4","(37)","AM4","Micro ATX","128 GB","4","Silver / Black","$89.99"
"https://cdna.pcpartpicker.com/static/forever/images/product/8a6d9e0f04302ca47ff65d23bda24e49.256p.jpg","MSI PRO H610M-G DDR4","(3)","LGA1700","Micro ATX","64 GB","2","Black / Silver","$79.00"
"https://cdna.pcpartpicker.com/static/forever/images/product/3097c6aa9533b84ddbaa1ce0be506081.256p.jpg","ASRock B450M/ac R2.0","(1)","AM4","Micro ATX","128 GB","4","Black / Silver","$59.99"
"https://cdna.pcpartpicker.com/static/forever/images/product/9b8e42f3b4e9ba5f9b18b87beb9359ec.256p.jpg","Asus ROG STRIX B760-I GAMING WIFI","(9)","LGA1700","Mini ITX","96 GB","2","Black","$198.99"
"https://cdna.pcpartpicker.com/static/forever/images/product/52ee465cbd64b16145232d863524c066.256p.jpg","MSI MAG B550 TOMAHAWK","(123)","AM4","ATX","128 GB","4","Black / Silver","$149.99"
"https://cdna.pcpartpicker.com/static/forever/images/product/5ac88d84f61dd91c0621ac30c4dc5480.256p.jpg","Asus ROG STRIX B550-A GAMING","(64)","AM4","ATX","128 GB","4","Black / White","$164.99"
"https://cdna.pcpartpicker.com/static/forever/images/product/8d7d0435e8a2af93b5d91a1a5dccd476.256p.jpg","Asus TUF GAMING X570-PLUS (WI-FI)","(243)","AM4","ATX","128 GB","4","Black / Gold","$154.00"
"https://cdna.pcpartpicker.com/static/forever/images/product/2242bd04b2fe1d3c2ad72d2f7d36b2b0.256p.jpg","MSI PRO B760M-P DDR4","(0)","LGA1700","Micro ATX","128 GB","4","Black","$99.99"
"https://cdna.pcpartpicker.com/static/forever/images/product/d24b8a128d98467e0dd3bc57882ddd55.256p.jpg","Gigabyte B650I AORUS ULTRA","(16)","AM5","Mini ITX","96 GB","2","Black / Silver","$239.99"
"https://cdna.pcpartpicker.com/static/forever/images/product/dbeb8cc8ade3dfcbfed111e7b3b4d00f.256p.jpg","Asus Prime B450M-A II","(13)","AM4","Micro ATX","128 GB","4","","$79.98"
"https://m.media-amazon.com/images/I/519qwcjA6DL.jpg","MSI PRO Z790-A MAX WIFI","(0)","LGA1700","ATX","192 GB","4","Silver / Black","$259.99"
"https://cdna.pcpartpicker.com/static/forever/images/product/2cbf78674d429ad783054d4572709dd4.256p.jpg","MSI MPG B550 GAMING PLUS","(74)","AM4","ATX","128 GB","4","Black","$144.99"
"https://cdna.pcpartpicker.com/static/forever/images/product/bf950d502a28575d015348684bf78a37.256p.jpg","Asus ROG STRIX B650E-I GAMING WIFI","(15)","AM5","Mini ITX","96 GB","2","Black","$319.99"
"https://cdna.pcpartpicker.com/static/forever/images/product/46fcff37a9ae862aa21cc72913360550.256p.jpg","NZXT N7 Z790","(2)","LGA1700","ATX","128 GB","4","White / Black",""
"https://cdna.pcpartpicker.com/static/forever/images/product/87329029966463ec6eac31fad52fae85.256p.jpg","Gigabyte A520I AC","(11)","AM4","Mini ITX","64 GB","2","Black","$99.99"
"https://cdna.pcpartpicker.com/static/forever/images/product/1446d9ff59f65688199a1054f4433cb0.256p.jpg","MSI Z790 GAMING PRO WIFI","(3)","LGA1700","ATX","192 GB","4","Black","$189.99"
"https://cdna.pcpartpicker.com/static/forever/images/product/337ab1b8659caaac6b9b11ebd5d986ec.256p.jpg","Asus PRIME Z790-A WIFI","(9)","LGA1700","ATX","192 GB","4","Black / Silver","$249.99"
"https://cdna.pcpartpicker.com/static/forever/images/product/09d3314474cf5fefa2bd5c5941bb33b5.256p.jpg","Gigabyte B550 GAMING X V2","(9)","AM4","ATX","128 GB","4","Black","$95.99"
"https://cdna.pcpartpicker.com/static/forever/images/product/001b11e828cffd833e978f7a0d9cf4d1.256p.jpg","Gigabyte B550 AORUS ELITE AX V2","(33)","AM4","ATX","128 GB","4","Black / Silver","$135.99"
"https://cdna.pcpartpicker.com/static/forever/images/product/ac3a77e0e11d610407a9ef39970b00d7.256p.jpg","Gigabyte X670 AORUS ELITE AX (rev. 1.0)","(14)","AM5","ATX","192 GB","4","Black","$248.99"
"https://cdna.pcpartpicker.com/static/forever/images/product/aa51afa11630bd214fbb34854ea57663.256p.jpg","Asus ROG MAXIMUS Z790 HERO","(13)","LGA1700","ATX","192 GB","4","Black","$529.99"
"https://cdna.pcpartpicker.com/static/forever/images/product/183f9ccb12919c40ea74d1e58bf669e4.256p.jpg","Gigabyte B760M DS3H AX","(1)","LGA1700","Micro ATX","192 GB","4","Black","$134.99"
"https://cdna.pcpartpicker.com/static/forever/images/product/4dc751a89c74d335cae25cbc50b4c67e.256p.jpg","ASRock B650M Pro RS","(2)","AM5","Micro ATX","192 GB","4","Black / Silver","$139.99"
"https://cdna.pcpartpicker.com/static/forever/images/product/cdf933968ed120030fb424c75188d6b7.256p.jpg","Gigabyte B550M DS3H","(26)","AM4","Micro ATX","128 GB","4","Black / Gold","$122.94"
"https://cdna.pcpartpicker.com/static/forever/images/product/e17b78b80ad50c2c96668bb12c1f190e.256p.jpg","Asus TUF GAMING A520M-PLUS WIFI","(3)","AM4","Micro ATX","128 GB","4","Black / Orange","$99.99"
"https://cdna.pcpartpicker.com/static/forever/images/product/c2e7c6c86640a343fb44ae052217c200.256p.jpg","Gigabyte B650M DS3H","(3)","AM5","Micro ATX","192 GB","4","Brown / Black","$119.99"
"https://m.media-amazon.com/images/I/51-jJs+Es9L.jpg","Asus ROG STRIX X670E-E GAMING WIFI","(7)","AM5","ATX","192 GB","4","Black / Silver","$469.99"
"https://cdna.pcpartpicker.com/static/forever/images/product/44867ec7814048eb5afc863cc9bc1de3.256p.jpg","ASRock A520M-HDV","(2)","AM4","Micro ATX","64 GB","2","Black / Silver","$68.98"
"https://cdna.pcpartpicker.com/static/forever/images/product/f1c3a980e562664049693b11a32d2b99.256p.jpg","NZXT N7 B650E","(2)","AM5","ATX","128 GB","4","White","$315.99"
"https://cdna.pcpartpicker.com/static/forever/images/product/e4a16a219fbf878e01a4beae50bbc0ef.256p.jpg","ASRock B650M-HDV/M.2","(4)","AM5","Micro ATX","96 GB","2","Silver / Black","$109.99"
"https://cdna.pcpartpicker.com/static/forever/images/product/9397f3c0f9828c4f441a3b9b0a2ca914.256p.jpg","ASRock X670E Steel Legend","(12)","AM5","ATX","192 GB","4","Black / White","$259.99"
