"Name","td__rating","td__spec","td__spec 2","td__spec 3","td__spec 4","td__spec 5","td__price"
"Corsair VS600 (2020)","(1)","ATX","80+ Bronze","600 W","No","Black",""
"EVGA 500 BR","(71)","ATX","80+ Bronze","500 W","No","","$66.99"
"NZXT C750 (2022)","(2)","ATX","80+ Gold","750 W","Full","Black","$89.99"
"be quiet! Pure Power 12 M","(1)","ATX","80+ Gold","550 W","Full","Black","$73.50"
"Corsair RMe (2023)","(0)","ATX","80+ Gold","1200 W","Full","Black","$159.99"
"Gigabyte UD1000GM","(1)","ATX","80+ Gold","1000 W","Full","Black","$129.99"
"EVGA 600 W1","(47)","ATX","80+","600 W","No","","$61.87"
"SeaSonic FOCUS GX","(24)","ATX","80+ Gold","650 W","Full","Black","$132.16"
"Apevia Prestige","(3)","ATX","80+ Gold","800 W","No","Black","$66.98"
"Gigabyte P-B","(13)","ATX","80+ Bronze","650 W","No","Black",""
"Asus ROG THOR P2 Gaming","(0)","ATX","80+ Platinum","1200 W","Full","Silver / Black","$305.73"
"Thermaltake Toughpower GF1 Snow - TT Premium","(3)","ATX","80+ Gold","850 W","Full","White","$109.99"
"MSI MPG A750GF","(21)","ATX","80+ Gold","750 W","Full","Black","$109.99"
"be quiet! System Power 10","(1)","ATX","80+ Bronze","650 W","No","Black","$137.61"
"Aerocool Integrator","(6)","ATX","80+ Bronze","500 W","No","Black",""
"NZXT C1000 (2022)","(2)","ATX","80+ Gold","1000 W","Full","Black","$144.99"
"Apevia CAPTAIN","(0)","ATX","550 W","No","Black","","$31.99"
"EVGA 700 BR","(20)","ATX","80+ Bronze","700 W","No","","$74.98"
"EVGA 600 BR","(36)","ATX","80+ Bronze","600 W","No","","$69.81"
"Corsair HX1500i (2023)","(0)","ATX","80+ Platinum","1500 W","Full","Black","$299.99"
"Corsair RM750 (2019)","(230)","ATX","80+ Gold","750 W","Full","Black","$206.99"
"be quiet! System Power 10","(1)","ATX","80+ Bronze","450 W","No","Black","$67.56"
"Thermaltake Toughpower Grand RGB","(13)","ATX","80+ Gold","650 W","Full","","$79.99"
"Corsair RM650x (2021)","(13)","ATX","80+ Gold","650 W","Full","Black","$182.99"
"MSI MAG A650GL","(0)","ATX","80+ Gold","650 W","Full","Black","$96.99"
"Gigabyte P450B","(9)","ATX","80+ Bronze","450 W","No","Black","$82.23"
"Thermaltake Toughpower GF1 Snow - TT Premium","(1)","ATX","80+ Gold","750 W","Full","White",""
"Thermaltake Toughpower GF A3 - TT Premium Edition","(0)","ATX","80+ Gold","750 W","Full","Black","$89.99"
"EVGA 500 GD","(12)","ATX","80+ Gold","500 W","No","Black","$74.99"
"Asus ROG THOR P2 Gaming","(4)","ATX","80+ Platinum","1000 W","Full","Silver / Black","$259.99"
