"Name","td__rating","td__spec","td__spec 2","td__spec 3","td__spec 4","td__spec 5","td__spec 6","td__price"
"AMD Ryzen 9 3900X","(274)","12","3.8 GHz","4.6 GHz","105 W","None","Yes","$365.00"
"Intel Core i5-11400F","(23)","6","2.6 GHz","4.4 GHz","65 W","None","Yes","$130.69"
"AMD Ryzen 3 3200G","(64)","4","3.6 GHz","4 GHz","65 W","Radeon Vega 8","No","$93.99"
"AMD Ryzen 5 3600X","(202)","6","3.8 GHz","4.4 GHz","95 W","None","Yes","$210.00"
"AMD Ryzen 5 7500F","(1)","6","3.7 GHz","5 GHz","65 W","None","Yes",""
"AMD Ryzen 7 2700X","(357)","8","3.7 GHz","4.3 GHz","105 W","None","Yes","$209.38"
"AMD Ryzen 9 7900","(9)","12","3.6 GHz","5.4 GHz","65 W","Radeon","Yes","$410.99"
"Intel Core i9-9900K","(211)","8","3.6 GHz","5 GHz","95 W","Intel UHD Graphics 630","Yes","$460.00"
"Intel Core i3-12100","(8)","4","3.3 GHz","4.3 GHz","60 W","Intel UHD Graphics 730","Yes","$118.97"
"Intel Core i7-10700K","(100)","8","3.8 GHz","5.1 GHz","125 W","Intel UHD Graphics 630","Yes","$262.70"
"AMD Ryzen 7 3800X","(132)","8","3.9 GHz","4.5 GHz","105 W","None","Yes","$285.00"
"Intel Core i7-7700K","(305)","4","4.2 GHz","4.5 GHz","91 W","Intel HD Graphics 630","Yes","$290.00"
"Intel Core i5-9400F","(47)","6","2.9 GHz","4.1 GHz","65 W","None","No","$135.00"
"AMD Ryzen 5 5600X3D","(3)","6","3.3 GHz","4.4 GHz","105 W","None","Yes",""
"Intel Core i7-12700F","(8)","12","2.1 GHz","4.9 GHz","65 W","None","Yes","$289.95"
"Intel Core i7-11700K","(36)","8","3.6 GHz","5 GHz","125 W","Intel UHD Graphics 750","Yes","$283.04"
"Intel Core i7-6700K","(507)","4","4 GHz","4.2 GHz","91 W","Intel HD Graphics 530","Yes","$220.00"
"Intel Core i9-12900KF","(2)","16","3.2 GHz","5.2 GHz","125 W","None","Yes","$310.00"
"Intel Celeron E1400","(0)","2","2 GHz","65 W","None","No","",""
"Intel Core i9-11900K","(13)","8","3.5 GHz","5.3 GHz","125 W","Intel UHD Graphics 750","Yes","$289.52"
"Intel Core i5-10600K","(70)","6","4.1 GHz","4.8 GHz","125 W","Intel UHD Graphics 630","Yes","$149.00"
"AMD Threadripper 3970X","(8)","32","3.7 GHz","4.5 GHz","280 W","None","Yes","$2100.98"
"Intel Core i5-9600K","(145)","6","3.7 GHz","4.6 GHz","95 W","Intel UHD Graphics 630","No","$180.00"
"Intel Core i9-10900K","(48)","10","3.7 GHz","5.3 GHz","125 W","Intel UHD Graphics 630","Yes","$359.48"
"Intel Core i5-10400","(62)","6","2.9 GHz","4.3 GHz","65 W","Intel UHD Graphics 630","Yes","$137.99"
